Time(Sec),Lat(deg),Long(deg),UTM_x(m),UTM_y(m)
310.4416909218,59.6611120475,10.6748841567,6614861.5252575362,594368.3662761995
311.5065329075,59.6611102945,10.6748796567,6614861.3236832796,594368.1176925624
312.4480762482,59.6611085148,10.6748749967,6614861.1189125394,594367.8601701660
313.4608492851,59.6611066193,10.6748702500,6614860.9011218771,594367.5980908037
314.4472289085,59.6611047395,10.6748655233,6614860.6851039724,594367.3370940993
315.4471158981,59.6611028460,10.6748609133,6614860.4677303191,594367.0827082250
316.4426217079,59.6611010888,10.6748561883,6614860.2653723639,594366.8214606943
317.4460091591,59.6610993463,10.6748516450,6614860.0649056602,594366.5704061880
318.4456984997,59.6610974767,10.6748468000,6614859.8498515412,594366.3027144460
319.4586699009,59.6610955387,10.6748421050,6614859.6274025496,594366.0436649773
320.4449248314,59.6610936527,10.6748373650,6614859.4106792128,594365.7819342815
321.6828305721,59.6610917188,10.6748325950,6614859.1885875454,594365.5186478894
321.6828305721,59.6610898028,10.6748279683,6614858.9686852042,594365.2633861011
322.6352183819,59.6610878167,10.6748233067,6614858.7409208594,594365.0063496878
323.6367437840,59.6610858747,10.6748187600,6614858.5182374818,594364.7556677221
324.6414787769,59.6610839712,10.6748139883,6614858.2995207896,594364.4922020874
325.6408910751,59.6610820427,10.6748094333,6614858.0783286700,594364.2410126693
326.6408164501,59.6610801098,10.6748048167,6614857.8565664329,594363.9863613789
327.6514918804,59.6610782935,10.6748006017,6614857.6483461838,594363.7540107983
328.6934733391,59.6610779680,10.6747998817,6614857.6110818861,594363.7143638261
329.6932380199,59.6610779937,10.6747997950,6614857.6138163712,594363.7094093093
330.6986629963,59.6610779758,10.6747998033,6614857.6118426798,594363.7099288760
331.8374314308,59.6610779228,10.6747997317,6614857.6058398485,594363.7060404139
332.8623008728,59.6610779078,10.6747997933,6614857.6042574337,594363.7095565759
333.6820094585,59.6610779248,10.6747997717,6614857.6061193887,594363.7082882115
334.6376366615,59.6610779100,10.6747997583,6614857.6044489108,594363.7075787487
